Date,CIPLA.NS,HCLTECH.NS,INFY.NS,LT.NS,LUPIN.NS,MARUTI.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS,WIPRO.NS,NSE Index
8/14/2018,448.600006,384.5,451.568756,989.400024,1183.400024,2666.550049,273.399994,814.849976,537.674988,204.731308,7874.25
8/18/2018,471.049988,380.762512,444.975006,1010.666687,1201.300049,2703.550049,287.533325,816.200012,550.650024,205.368805,7897.5
8/19/2018,474.549988,384.6875,443.475006,1021.766663,1218,2749.300049,290.133331,809.75,552.787476,205.275055,7875.299805
8/20/2018,492.350006,389.637512,444.318756,1011.93335,1246.050049,2737.850098,282.666656,846.950012,555.424988,207.056305,7891.100098
8/21/2018,492.850006,388.887512,443.618744,1022.299988,1237.699951,2750.550049,283.933319,860,559.0625,206.681305,7913.200195
8/22/2018,499.299988,398.6875,450.125,1026.666626,1250.550049,2754.850098,284.700012,856.650024,576.612488,208.856308,7906.299805
8/25/2018,507.399994,399.424988,453.475006,1018.299988,1263.349976,2805.850098,285.833344,853.549988,578.412476,208.256302,7904.75
8/26/2018,512.400024,400.399994,453.018738,1004.133362,1288,2772.399902,278.666656,864.950012,588.337524,206.587555,7936.049805
8/27/2018,513.349976,412.475006,453.818756,1002.43335,1289.650024,2769.25,285.433319,862.400024,582.400024,209.456299,7954.350098
8/28/2018,514.200012,407.6875,449.850006,1017.666687,1285.400024,2784.5,290,855.25,590.75,211.968796,8027.700195
09-01-2022,529.150024,409.350006,449.956238,1051.56665,1289.849976,2912.800049,293.033325,842.349976,592.962524,212.193802,8083.049805
09-02-2022,557.049988,412,451.71875,1052.900024,1308.599976,2915.050049,296.366669,863.549988,601.662476,210.375046,8114.600098
09-03-2022,553.200012,414.5,466.78125,1065.466675,1312.599976,2908.550049,291.266663,863.299988,610.787476,216.450058,8095.950195
09-04-2022,552.299988,415.262512,463.59375,1059.966675,1325.699951,2897.75,291.666656,864.5,617.125,216.431305,8086.850098
09-05-2022,557.5,416.075012,466.34375,1075.06665,1328.25,2880.75,295.700012,857.849976,617.0625,218.212555,8173.899902
09-08-2022,563.450012,416.5625,472.706238,1086.266724,1338.449951,2915.649902,303.433319,868,621.924988,222.262558,8152.950195
09-09-2022,574.900024,410.200012,467.006256,1070.166626,1348.099976,2910,299.600006,860.400024,609.75,220.500061,8094.100098
09-10-2022,577.349976,408.75,458.412506,1056.733276,1343.300049,2906.949951,296.933319,859.299988,611.087524,218.118805,8085.700195
09-11-2022,575.200012,409.424988,460.518738,1063.43335,1319.050049,2917.100098,286.333344,822.299988,610.974976,215.250046,8105.5
09-12-2022,612.75,405.25,458.737488,1052.466675,1359,2971.800049,285.766663,806.099976,611.4375,215.625046,8042
9/15/2018,630.25,402.424988,455.162506,1040.366699,1415.900024,2962.600098,280.566681,795.299988,617,213.093796,7932.899902
9/16/2018,619.700012,401.387512,456.40625,1010.43335,1360.900024,2950.350098,272.5,798.25,605.8125,209.793808,7975.5
9/17/2018,610.150024,406.637512,467.631256,1012.766663,1364.699951,2967.199951,271.700012,792.400024,606.200012,212.756302,8114.75
9/18/2018,620.049988,409.225006,462.125,1049.466675,1377.5,3042.699951,275.933319,805.049988,606.525024,218.175049,8121.450195
9/19/2018,628.099976,418.387512,462.756256,1021.633362,1400.849976,3082.399902,269.333344,807.150024,619.5625,220.650055,8146.299805
9/22/2018,612.900024,424.837494,456.325012,1022.133362,1390.300049,3066.199951,279.399994,798.349976,617.299988,218.062561,8017.549805
9/23/2018,584.299988,431.112488,450.887512,997.166687,1357.150024,3061.800049,271.533325,780.599976,618.450012,218.512558,8002.399902
9/24/2018,600,427.350006,455.600006,976,1367.25,3071.800049,275.799988,780.650024,621.262512,222.281311,7911.850098
9/25/2018,608.450012,427.112488,461.375,964.733337,1361.699951,3057.25,266.899994,774.25,625.487488,218.456299,7968.850098
9/26/2018,611.950012,428.5,460.018738,984,1379.550049,3038,274.700012,806.599976,618.3125,220.725052,7958.899902
9/29/2018,616.849976,426.5,468.631256,979.06665,1395.949951,3008.149902,271.666656,835.799988,621.662476,222.318802,7964.799805
9/30/2018,626.799988,428.6875,468.46875,972.166687,1395.650024,3062.850098,272.366669,857.25,622.424988,223.800049,7945.549805
10-01-2022,624.299988,435.037506,480.912506,964.56665,1386.800049,2970.949951,268.566681,860.799988,630.200012,230.906311,7852.399902
10-07-2022,602.200012,432.299988,478.912506,943.200012,1368.050049,2938.649902,264.5,835.950012,628.525024,231.937561,7842.700195
10-08-2022,585.650024,418.274994,456.268738,964.833313,1331.25,2951.100098,270.766663,800.799988,599.049988,222.581299,7960.549805
10-09-2022,591.700012,423.875,455.850006,991.266663,1338.300049,3006.199951,274.299988,814.75,584.112488,220.218811,7859.950195
10-10-2022,592.400024,434.375,486.081238,974.466675,1328.050049,2966.199951,269.466675,821.349976,584.762512,219.262558,7884.25
10/13/2018,575.950012,438.950012,492.818756,963.866638,1327.25,2972.850098,271.166656,803.900024,592,219.206299,7864
10/14/2018,578.5,430.75,489.787506,959.93335,1330.449951,2962.100098,268.100006,802.900024,593.025024,217.518799,null
10/15/2018,578.5,430.75,489.787506,959.93335,1330.449951,2962.100098,268.100006,802.900024,593.025024,217.518799,7748.200195
10/16/2018,578.650024,413.962494,483.162506,949.133362,1318.900024,2936.850098,264.733337,796.650024,576.337524,214.987549,7779.700195
10/17/2018,595.599976,376.375,481.456238,968.599976,1347.150024,2941.100098,264.733337,798.349976,568.25,212.212555,7879.399902
10/20/2018,604.25,374.087494,476.543762,996.833313,1386.800049,3003.699951,279.333344,801.549988,574.012512,208.650055,7927.75
10/21/2018,608.299988,376.274994,471.618744,1008,1367.75,3075.699951,272,797.349976,582.674988,214.987549,7995.899902
10/22/2018,628.400024,378.3125,474.506256,1035.833374,1388.900024,3177.199951,266.299988,806.25,583.6875,218.868805,7991.700195
10/27/2018,628.099976,374.1875,475.381256,1044.900024,1393.25,3169.699951,263.100006,805.200012,581.599976,208.050049,8027.600098
10/28/2018,646.150024,375.287506,473.53125,1051,1357.550049,3151.350098,261.133331,838.650024,592.8125,207.637558,8090.450195
10/29/2018,656.900024,378,485.181244,1051.466675,1356.400024,3205.399902,261.866669,830.400024,599.237488,208.800049,8169.200195
10/30/2018,650.599976,394.1875,493.318756,1065.133301,1345.300049,3240.25,263.933319,828.650024,619.887512,210.093796,8322.200195
10/31/2018,666.549988,402.100006,506.40625,1103.633301,1369.050049,3337.25,270.100006,845.400024,629.424988,211.387558,8324.150391
11-03-2022,663.099976,392.700012,510.737488,1105.199951,1359.349976,3286.850098,269.700012,853.25,645.087524,211.837555,8338.299805
11-05-2022,658.5,401.25,515.599976,1110.599976,1381.300049,3288.949951,269.066681,871.5,652.650024,209.625046,8337
11-07-2022,650.150024,404.662506,520.825012,1102.533325,1419.349976,3288.350098,273.100006,894.299988,662.912476,207.543808,8344.25
11-10-2022,643,404.387512,520.6875,1079.599976,1430.949951,3307.800049,262.799988,911.25,658.525024,209.568802,8362.650391
11-11-2022,637,403.875,515.650024,1091.466675,1430.400024,3329,263.233337,917.299988,657.5,208.987549,8383.299805
11-12-2022,618.299988,400.125,513.25,1075.666626,1422.900024,3359.75,262.433319,906.049988,655.112488,208.518799,8357.849609
11/13/2018,623.650024,409.875,522.325012,1077.599976,1438.199951,3328.550049,257.200012,908.299988,661.25,209.550049,8389.900391
11/14/2018,609.200012,402.674988,523.956238,1081.099976,1443.949951,3329.550049,262.166656,886.75,659.5,211.462555,8430.75
11/17/2018,613.299988,404.912506,527.306274,1077.233276,1446.449951,3341.199951,264.299988,883.849976,649.037476,211.556305,8425.900391
11/18/2018,607.849976,400.174988,522.793762,1096.400024,1447.650024,3364.600098,260.433319,866.900024,649.112488,212.343796,8382.299805
11/19/2018,599.200012,407.787506,521.668762,1105.733276,1449.349976,3343.399902,256.100006,850.099976,656.8125,211.837555,8401.900391
11/20/2018,618.5,412.25,528.200012,1096.633301,1468.599976,3335.5,257.166656,851.049988,676.424988,214.462555,8477.349609
